billing_date,service_name,region,resource_id / resource-name,usage_type,cost,usage_quantity,instance_type,volume-type,autoscaling-count,storage_type,tag-project / tag-name,tag_environment,data_transfer_gb,is_anomaly,department,environment,project_name,month
2/1/2026,AWSLambda,ap-northeast-1,lambda:carci-dev-fn-84b2,Lambda:Requests,252856.1,2528561,,,0,,carci,dev,0,0,Operations,prod,DataLake,2
2/8/2026,AmazonRDS,us-east-1,db:startup-x-prod-01,DataTransfer-Out-Bytes,9.91,99.086,,,0,,startup-x,prod,99.086,0,IT,test,MobileApp,2
2/26/2026,AmazonVPC,us-east-1,nat-34833489,DataTransfer-Out-Bytes,6.24,62.411,,,0,,startup-x,test,62.411,0,HR,test,MobileApp,2
2/20/2026,AmazonS3,us-west-2,budgetguard-staging-bucket-12d810,DataTransfer-Out-Bytes,10.41,104.062,,,0,,budgetguard,staging,104.062,1,Finance,prod,AIResearch,2
2/11/2026,ElasticLoadBalancing,ap-south-1,app/budgetguard-dev-alb/d03241b4d4,DataTransfer-Out-Bytes,19.39,193.92,,,0,,budgetguard,dev,193.92,0,Operations,test,CloudMigration,2
2/2/2026,AmazonS3,ap-northeast-1,carci-prod-bucket-73bd47,,388.69,3886.907,,,0,Glacier Deep Archive,carci,prod,0,0,HR,test,CloudMigration,2
2/28/2026,AmazonEC2,ap-southeast-1,i-ad7853c1f76eb9770,BoxUsage:t3.medium,0.55,5.508,t3.medium,,0,,finops-lite,prod,0,0,IT,prod,WebApp,2
2/22/2026,AmazonEC2,us-west-2,i-ca0385813dbad3c68,EBS:VolumeUsage.io2,1.86,18.593,,io2,0,EBS,carci,prod,0,0,IT,test,AIResearch,2
2/2/2026,AmazonVPC,us-east-1,nat-6bd2aa39,DataTransfer-Out-Bytes,5.43,54.343,,,0,,startup-x,prod,54.343,0,Marketing,prod,MobileApp,2
2/17/2026,AmazonS3,eu-west-1,costwatch-prod-bucket-dc59c0,S3:Storage.Intelligent-Tiering,415.23,4152.251,,,0,Intelligent-Tiering,costwatch,prod,0,0,Marketing,test,CloudMigration,2
2/10/2026,AmazonS3,eu-west-1,startup-x-prod-bucket-eee6f5,DataTransfer-Out-Bytes,10.86,108.585,,,0,,startup-x,prod,108.585,0,Finance,prod,MobileApp,2
2/22/2026,AmazonEC2,eu-west-1,i-764017f2ed6cfc740,BoxUsage:m5.xlarge,1.95,19.451,m5.xlarge,,0,,startup-x,test,0,0,HR,prod,CloudMigration,2
2/25/2026,AmazonECR,ap-northeast-1,ecr/costwatch-test-repo-173e,DataTransfer-Out-Bytes,0.12,1.204,,,0,,costwatch,test,1.204,0,HR,test,CloudMigration,2
2/5/2026,AmazonDynamoDB,ap-south-1,ddb/startup-x-staging-table-de5f,DynamoDB:WriteUnits,163110.7,1631107,,,0,,startup-x,staging,0,0,Marketing,test,CloudMigration,2
2/15/2026,AmazonS3,us-west-2,budgetguard-prod-bucket-78e297,DataTransfer-Out-Bytes,15.43,154.277,,,0,,budgetguard,prod,154.277,0,HR,test,AIResearch,2
2/9/2026,AmazonRDS,ap-northeast-1,db:carci-dev-01,RDS:InstanceUsage:db.m5.large,0.27,2.703,m5.large,,0,RDS,carci,dev,0,0,HR,dev,DataLake,2
2/23/2026,AmazonEC2,us-east-1,i-ed16dc0cf0b9cd7f7,DataTransfer-Out-Bytes,17.26,172.634,,,0,,costwatch,staging,172.634,0,IT,dev,MobileApp,2
2/9/2026,AWSLambda,us-east-1,lambda:budgetguard-prod-fn-5e40,Lambda:GB-Second,124697.3,1246972.956,,,0,,budgetguard,prod,0,0,Marketing,dev,AIResearch,2
2/13/2026,AmazonEKS,ap-south-1,eks/carci-prod-cluster,BoxUsage:r6i.large,0.85,8.479,r6i.large,,0,,carci,prod,0,0,Operations,prod,AIResearch,2
2/6/2026,AmazonEC2,us-west-2,i-8d82f01b721076047,EBS:VolumeUsage.st1,14.86,148.625,,st1,0,EBS,finops-lite,staging,0,0,Marketing,test,AIResearch,2
2/5/2026,AWSLambda,us-east-1,lambda:finops-lite-staging-fn-b535,Lambda:GB-Second,94495.76,944957.635,,,0,,finops-lite,staging,0,0,Operations,prod,AIResearch,2
2/10/2026,AmazonEC2,us-east-1,i-6273931bdb2a0df3d,EBS:VolumeUsage.st1,3.27,32.723,,st1,0,EBS,budgetguard,staging,0,0,IT,dev,AIResearch,2
2/12/2026,AmazonEKS,ap-southeast-1,eks/finops-lite-staging-cluster,DataTransfer-Out-Bytes,11.23,112.299,,,0,,finops-lite,staging,112.299,0,Finance,test,WebApp,2
2/20/2026,AmazonDynamoDB,eu-west-1,ddb/costwatch-staging-table-a728,DynamoDB:WriteUnits,154216.3,1542163,,,0,,costwatch,staging,0,0,HR,prod,MobileApp,2
2/15/2026,AmazonS3,eu-west-1,startup-x-prod-bucket-0fa5f6,DataTransfer-Out-Bytes,8.56,85.565,,,0,,startup-x,prod,85.565,0,IT,test,AIResearch,2
2/12/2026,AmazonDynamoDB,us-west-2,ddb/startup-x-prod-table-0627,DynamoDB:WriteUnits,5181.3,51813,,,0,,startup-x,prod,0,0,HR,prod,MobileApp,2
2/24/2026,AmazonRDS,ap-south-1,db:finops-lite-prod-01,DataTransfer-Out-Bytes,10.18,101.763,,,0,,finops-lite,prod,101.763,0,Finance,test,WebApp,2
2/23/2026,AWSLambda,ap-southeast-1,lambda:carci-test-fn-79bf,Lambda:GB-Second,181522.54,1815225.381,,,0,,carci,test,0,0,Finance,dev,WebApp,2
2/18/2026,AmazonCloudWatch,eu-west-1,res-898736a356,CloudWatch:Metrics,37.8,378,,,0,,startup-x,test,0,0,IT,dev,MobileApp,2
2/7/2026,ElasticLoadBalancing,us-west-2,app/startup-x-prod-alb/3697b59048,DataTransfer-Out-Bytes,4.58,45.837,,,0,,startup-x,prod,45.837,0,Finance,test,CloudMigration,2
2/2/2026,AmazonElastiCache,ap-south-1,cache/finops-lite-prod-redis-309f,DataTransfer-Out-Bytes,3.23,32.328,,,0,,finops-lite,prod,32.328,0,Operations,prod,DataLake,2
2/16/2026,AWSLambda,us-east-1,lambda:carci-test-fn-32cf,Lambda:GB-Second,185946.56,1859465.607,,,0,,carci,test,0,0,Finance,dev,CloudMigration,2
2/3/2026,AmazonCloudWatch,ap-south-1,res-273d7cee9d,CloudWatch:Metrics,43.6,436,,,0,,finops-lite,dev,0,0,HR,dev,CloudMigration,2
2/10/2026,AmazonCloudWatch,us-east-1,res-682575250d,CloudWatch:Metrics,40.2,402,,,0,,carci,prod,0,0,HR,dev,CloudMigration,2
2/15/2026,AmazonVPC,eu-west-1,nat-9e2786d3,BoxUsage:r6i.2xlarge,0.85,8.52,r6i.2xlarge,,0,,carci,test,179.229,1,HR,test,AIResearch,2
2/18/2026,AmazonS3,us-east-1,budgetguard-prod-bucket-599e3e,S3:Storage.Standard,162.41,1624.117,,,0,Standard,budgetguard,prod,0,0,HR,test,WebApp,2
2/23/2026,AmazonS3,eu-west-1,budgetguard-staging-bucket-e21da8,DataTransfer-Out-Bytes,8.55,85.479,,,0,,budgetguard,staging,85.479,0,Operations,prod,CloudMigration,2
2/1/2026,AmazonEC2,ap-northeast-1,i-15fe85df2fbdaa35a,BoxUsage:m5.xlarge,1.27,12.747,m5.xlarge,,2,,startup-x,staging,0,0,Marketing,prod,WebApp,2
2/14/2026,AmazonVPC,us-west-2,nat-1e2a8a3c,DataTransfer-Out-Bytes,2.41,24.061,,,0,,costwatch,prod,24.061,0,IT,prod,MobileApp,2
2/28/2026,AWSLambda,ap-northeast-1,lambda:startup-x-staging-fn-6bfe,Lambda:Requests,681854.2,6818542,,,0,,startup-x,staging,0,0,HR,test,DataLake,2
2/25/2026,AmazonEC2,us-west-2,i-307590d273e34f98d,EBS:VolumeUsage.st1,10.86,108.57,,st1,0,EBS,finops-lite,prod,0,1,Finance,test,MobileApp,2
2/27/2026,AWSLambda,eu-west-1,lambda:costwatch-staging-fn-6428,Lambda:GB-Second,140633.49,1406334.899,,,0,,costwatch,staging,0,0,HR,prod,MobileApp,2
2/25/2026,AmazonDynamoDB,eu-west-1,ddb/startup-x-test-table-99f4,DynamoDB:ReadUnits,481227.4,4812274,,,0,,startup-x,test,0,0,Finance,prod,AIResearch,2
2/15/2026,AmazonCloudWatch,us-west-2,res-ea67c7d1af,CloudWatch:Metrics,12.7,127,,,0,,startup-x,prod,0,1,Finance,test,DataLake,2
2/23/2026,AmazonRoute53,us-west-2,hostedzone/4a3e3e04d42f8,Route53:HostedZone,0.1,1,,,0,,finops-lite,staging,0,0,HR,prod,MobileApp,2
2/11/2026,AmazonEKS,us-west-2,eks/carci-prod-cluster,DataTransfer-Out-Bytes,5.7,57.04,,,0,,carci,prod,57.04,0,Operations,dev,MobileApp,2
2/11/2026,AmazonEKS,ap-northeast-1,eks/costwatch-prod-cluster,BoxUsage:t3.small,0.22,2.184,t3.small,,0,,costwatch,prod,0,0,Finance,test,DataLake,2
2/8/2026,AmazonEKS,ap-northeast-1,eks/finops-lite-prod-cluster,DataTransfer-Out-Bytes,5.58,55.801,,,0,,finops-lite,prod,55.801,0,Finance,prod,DataLake,2
2/4/2026,ElasticLoadBalancing,ap-south-1,app/carci-staging-alb/01a19bbd47,DataTransfer-Out-Bytes,2.91,29.064,,,0,,carci,staging,29.064,0,HR,test,MobileApp,2
2/17/2026,AmazonRDS,ap-south-1,db:finops-lite-dev-01,RDS:InstanceUsage:db.r6i.large,1.23,12.257,r6i.large,,0,RDS,finops-lite,dev,0,0,Finance,dev,DataLake,2
2/28/2026,AmazonRDS,ap-south-1,db:costwatch-prod-01,RDS:InstanceUsage:db.t3.medium,0.65,6.466,t3.medium,,0,RDS,costwatch,prod,0,0,Finance,test,MobileApp,2
2/15/2026,AmazonEKS,eu-west-1,eks/carci-prod-cluster,DataTransfer-Out-Bytes,14.57,145.67,,,0,,carci,prod,145.67,0,HR,test,MobileApp,2
2/10/2026,AmazonVPC,us-east-1,nat-9d8e96cf,DataTransfer-Out-Bytes,12.67,126.743,,,0,,costwatch,prod,126.743,0,HR,test,AIResearch,2
2/4/2026,AmazonS3,ap-south-1,startup-x-test-bucket-0c801f,DataTransfer-Out-Bytes,10.72,107.201,,,0,,startup-x,test,107.201,0,IT,test,CloudMigration,2
2/27/2026,AmazonCloudFront,us-west-2,cf/7684319e1b42,DataTransfer-Out-Bytes,0.83,8.251,,,0,,finops-lite,prod,8.251,0,Operations,dev,MobileApp,2
2/10/2026,AmazonRDS,eu-west-1,db:finops-lite-dev-01,DataTransfer-Out-Bytes,11.82,118.219,,,0,,finops-lite,dev,118.219,0,Operations,test,WebApp,2
2/12/2026,AmazonCloudWatch,ap-northeast-1,res-9a3e247cb2,CloudWatch:Metrics,32.3,323,,,0,,finops-lite,test,0,0,Finance,test,CloudMigration,2
2/26/2026,AmazonRDS,us-west-2,db:carci-staging-01,DataTransfer-Out-Bytes,3.5,34.956,,,0,,carci,staging,34.956,0,Operations,prod,CloudMigration,2
2/24/2026,AmazonVPC,ap-south-1,nat-f0a72e9d,NATGateway:Hours,2.25,22.545,,,0,,budgetguard,dev,0,0,Finance,test,CloudMigration,2
2/4/2026,AmazonEC2,ap-northeast-1,i-74cebd4d3fd81b6ee,DataTransfer-Out-Bytes,159.72,1597.222,t3.small,,0,,budgetguard,prod,1597.222,1,IT,prod,AIResearch,2
2/8/2026,AmazonECR,us-east-1,ecr/budgetguard-staging-repo-1c86,DataTransfer-Out-Bytes,13.2,132.031,,,0,,budgetguard,staging,132.031,0,HR,dev,MobileApp,2
2/4/2026,AmazonElastiCache,ap-southeast-1,cache/carci-prod-redis-a746,BoxUsage:t3.micro,1.38,13.77,t3.micro,,0,,carci,prod,0,0,HR,dev,AIResearch,2
2/3/2026,AmazonECR,ap-south-1,ecr/startup-x-test-repo-a408,DataTransfer-Out-Bytes,273.28,2732.787,,,0,ECR,startup-x,test,2732.787,1,HR,dev,MobileApp,2
2/28/2026,AWSKeyManagementService,ap-northeast-1,key/3040b7a05814d32feb3e719e01fcd3fe,KMS:Requests,4486089.1,44860891,,,0,,startup-x,test,0,0,Operations,dev,AIResearch,2
2/3/2026,AmazonCloudFront,us-west-2,cf/ac9ed336de7d,DataTransfer-Out-Bytes,6.79,67.872,,,0,,finops-lite,dev,67.872,0,IT,prod,AIResearch,2
2/11/2026,AmazonECR,us-west-2,ecr/carci-test-repo-8b4f,DataTransfer-Out-Bytes,6.99,69.907,,,0,,carci,test,69.907,0,Operations,test,WebApp,2
2/3/2026,AmazonEC2,us-east-1,i-b41a3dbd199b364f7,DataTransfer-Out-Bytes,17.74,177.429,,,0,,costwatch,dev,177.429,0,Operations,dev,AIResearch,2
2/28/2026,AmazonEC2,ap-southeast-1,i-7d080589ab054c240,EBS:VolumeUsage.sc1,15.82,158.176,,sc1,0,EBS,budgetguard,dev,0,0,IT,test,DataLake,2
2/3/2026,ElasticLoadBalancing,us-east-1,app/costwatch-staging-alb/b9a2145128,ALB:LCU,0.82,8.165,,,0,,costwatch,staging,0,0,IT,prod,WebApp,2
2/15/2026,AmazonVPC,eu-west-1,nat-3bd39f91,NATGateway:Hours,2.17,21.667,,,0,,costwatch,staging,0,0,IT,prod,AIResearch,2
2/8/2026,AmazonRDS,ap-south-1,db:carci-test-01,RDS:InstanceUsage:db.t3.medium,0.11,1.116,t3.medium,,0,RDS,carci,test,0,0,IT,prod,CloudMigration,2
2/25/2026,AmazonS3,us-west-2,carci-staging-bucket-54c7b2,DataTransfer-Out-Bytes,3.22,32.246,,,0,,carci,staging,32.246,0,HR,dev,DataLake,2
2/13/2026,AmazonECR,us-east-1,ecr/carci-staging-repo-adcd,ECR:Storage,32.63,326.329,,,0,ECR,carci,staging,0,0,Marketing,test,DataLake,2
2/10/2026,AmazonEC2,us-east-1,i-eb2d37dc2c9a7a523,DataTransfer-Out-Bytes,4.49,44.931,,,0,,budgetguard,dev,44.931,0,Marketing,test,DataLake,2
2/17/2026,AWSLambda,ap-northeast-1,lambda:budgetguard-test-fn-7348,,657545.4,6575454,,,0,,budgetguard,test,0,0,IT,test,WebApp,2
2/7/2026,AmazonEC2,us-east-1,i-feeaa4e2fe981b29e,DataTransfer-Out-Bytes,14.93,149.324,,,0,,carci,dev,149.324,0,Marketing,prod,AIResearch,2
2/15/2026,AmazonEC2,us-west-2,i-e1e6af41e3a2517ee,BoxUsage:c6i.xlarge,1.41,14.071,c6i.xlarge,,0,,budgetguard,dev,0,0,Marketing,dev,AIResearch,2
2/17/2026,AmazonCloudWatch,us-east-1,res-da1a2a3c98,CloudWatch:Metrics,4.8,48,,,0,,budgetguard,prod,0,0,IT,prod,CloudMigration,2
2/24/2026,AmazonECR,ap-northeast-1,ecr/startup-x-prod-repo-24b9,DataTransfer-Out-Bytes,4.89,48.874,,,0,,startup-x,prod,48.874,0,Marketing,prod,CloudMigration,2
2/21/2026,AmazonVPC,us-west-2,nat-9ca42db0,NATGateway:Hours,2.34,23.379,,,0,,startup-x,prod,0,0,Operations,test,DataLake,2
2/12/2026,AmazonS3,ap-northeast-1,budgetguard-prod-bucket-674429,DataTransfer-Out-Bytes,12.63,126.265,,,0,,budgetguard,prod,126.265,0,Finance,prod,CloudMigration,2
2/28/2026,AmazonDynamoDB,eu-west-1,ddb/startup-x-prod-table-a4c4,DynamoDB:ReadUnits,397426.2,3974262,,,0,,startup-x,prod,0,0,Finance,test,WebApp,2
2/6/2026,AmazonEC2,ap-south-1,i-1db7e9e779f6bee9c,BoxUsage:r6i.large,0.55,5.491,r6i.large,,0,,startup-x,prod,0,0,IT,dev,AIResearch,2
2/17/2026,AmazonCloudWatch,ap-northeast-1,res-81fb339258,CloudWatch:Metrics,36.2,362,,,0,,finops-lite,prod,0,0,HR,test,DataLake,2
2/15/2026,AmazonCloudFront,us-east-1,cf/eb0d1cb7c2b7,DataTransfer-Out-Bytes,18.81,188.098,,,32,,costwatch,dev,188.098,1,IT,dev,CloudMigration,2
2/1/2026,AmazonS3,us-east-1,budgetguard-prod-bucket-9f4fe0,S3:Storage.Standard,477.19,4771.946,,,0,Standard,budgetguard,prod,0,0,HR,test,WebApp,2
2/3/2026,AmazonEC2,us-east-1,i-d3979317de23f0749,DataTransfer-Out-Bytes,0.32,3.19,,,0,,finops-lite,staging,3.19,0,Finance,prod,WebApp,2
2/14/2026,AmazonEC2,us-west-2,i-2b20cf1cb80b2b73a,DataTransfer-Out-Bytes,18.57,185.671,,,0,,startup-x,staging,185.671,0,IT,prod,CloudMigration,2
2/5/2026,AmazonEC2,eu-west-1,i-ef542e196161a9cf8,DataTransfer-Out-Bytes,19.27,192.728,,,0,,finops-lite,prod,192.728,0,Operations,dev,AIResearch,2
2/2/2026,ElasticLoadBalancing,us-east-1,app/budgetguard-prod-alb/a83bdceca5,ALB:LCU,4.27,42.665,,,0,,budgetguard,prod,0,0,Marketing,dev,CloudMigration,2
2/16/2026,AmazonVPC,us-west-2,nat-d2d59a32,NATGateway:Hours,2.06,20.576,,,0,,startup-x,test,0,0,HR,dev,DataLake,2
2/11/2026,AmazonVPC,us-west-2,nat-ebe1bd81,NATGateway:Hours,0.83,8.289,,,0,,startup-x,prod,0,0,Marketing,test,CloudMigration,2
2/3/2026,AmazonVPC,eu-west-1,nat-504e1427,DataTransfer-Out-Bytes,18.72,187.237,,,0,,startup-x,prod,187.237,0,Marketing,test,WebApp,2
2/25/2026,AmazonEKS,us-west-2,eks/startup-x-dev-cluster,BoxUsage:r6i.large,0.32,3.235,r6i.large,,1,,startup-x,dev,0,0,IT,dev,CloudMigration,2
2/12/2026,AmazonRDS,ap-southeast-1,db:startup-x-dev-01,EBS:VolumeUsage.st1,17.67,176.701,,st1,0,EBS,startup-x,dev,0,0,Marketing,prod,AIResearch,2
2/11/2026,AmazonEKS,us-west-2,eks/carci-dev-cluster,BoxUsage:r6i.large,1.72,17.157,r6i.large,,1,,carci,dev,0,0,Operations,test,MobileApp,2
2/17/2026,AmazonRDS,ap-south-1,db:budgetguard-prod-01,,16.19,161.891,,,0,,budgetguard,prod,161.891,0,Marketing,test,CloudMigration,2
2/15/2026,AmazonS3,ap-south-1,costwatch-test-bucket-e5e2ab,S3:Storage.Standard,406.01,4060.061,,,0,Standard,costwatch,test,0,0,IT,test,AIResearch,2
2/23/2026,AmazonEC2,eu-west-1,i-5b73647f0bbe4229c,DataTransfer-Out-Bytes,15.97,159.679,,,0,,budgetguard,prod,159.679,0,Operations,dev,AIResearch,2
2/23/2026,ElasticLoadBalancing,eu-west-1,app/costwatch-prod-alb/4a2eeb454d,ALB:LCU,3.25,32.533,,,0,,costwatch,prod,0,0,Finance,dev,WebApp,2
2/17/2026,AmazonCloudFront,us-east-1,cf/55a7b9286849,DataTransfer-Out-Bytes,17.8,178.012,,,0,,carci,staging,178.012,0,Marketing,dev,AIResearch,2
2/20/2026,AmazonCloudWatch,eu-west-1,res-5a102186d0,CloudWatch:Metrics,17,170,,,0,,finops-lite,staging,0,0,IT,dev,AIResearch,2
2/16/2026,AmazonCloudFront,eu-west-1,cf/9e215edfe6a4,DataTransfer-Out-Bytes,11.57,115.698,,,0,,budgetguard,staging,115.698,0,Finance,dev,AIResearch,2
2/11/2026,AmazonECR,us-west-2,ecr/budgetguard-prod-repo-b3a7,ECR:Storage,1.89,18.935,,,0,ECR,budgetguard,prod,0,0,Finance,prod,AIResearch,2
2/15/2026,AmazonEC2,eu-west-1,i-d75aa65fef9f02ce7,EBS:VolumeUsage.st1,6.44,64.443,,st1,0,EBS,finops-lite,dev,0,0,HR,prod,DataLake,2
2/7/2026,AmazonCloudWatch,us-east-1,res-903d48bcb1,CloudWatch:Metrics,29.6,296,,,0,,budgetguard,staging,0,0,Operations,dev,DataLake,2
2/13/2026,AmazonEC2,ap-south-1,i-e8343cbab46c1114a,BoxUsage:c6i.xlarge,1.3,13.012,c6i.xlarge,,0,,budgetguard,staging,0,0,Marketing,test,WebApp,2
2/26/2026,AWSLambda,eu-west-1,lambda:startup-x-prod-fn-aa5c,Lambda:Requests,1542287.2,15422872,,,0,,startup-x,prod,0,0,IT,dev,CloudMigration,2
2/20/2026,ElasticLoadBalancing,us-west-2,app/budgetguard-staging-alb/9f0ba3d90f,DataTransfer-Out-Bytes,1.72,17.161,,,0,,budgetguard,staging,17.161,0,HR,prod,AIResearch,2
2/9/2026,AmazonElastiCache,ap-southeast-1,cache/startup-x-staging-redis-5c47,BoxUsage:r6i.large,1.32,13.221,r6i.large,,0,,startup-x,staging,0,0,Operations,prod,CloudMigration,2
2/2/2026,AmazonCloudWatch,ap-south-1,res-d4d6df146a,CloudWatch:Metrics,36.3,363,,,0,,finops-lite,dev,0,0,HR,test,CloudMigration,2
2/22/2026,AWSLambda,us-west-2,lambda:finops-lite-staging-fn-b8f6,Lambda:GB-Second,195172.83,1951728.307,,,0,,finops-lite,staging,0,0,Operations,prod,WebApp,2
2/8/2026,AmazonS3,us-west-2,budgetguard-prod-bucket-fafb89,S3:Storage.Glacier Deep Archive,398.62,3986.172,,,0,Glacier Deep Archive,budgetguard,prod,0,0,Operations,dev,AIResearch,2
2/4/2026,AmazonCloudWatch,eu-west-1,res-9192be8f66,CloudWatch:Metrics,13.6,136,,,0,,costwatch,prod,0,0,Marketing,test,AIResearch,2
2/27/2026,AmazonCloudWatch,ap-northeast-1,res-717713daf3,CloudWatch:Metrics,1.4,14,,,0,,budgetguard,dev,0,0,Operations,dev,MobileApp,2
2/22/2026,ElasticLoadBalancing,us-east-1,app/startup-x-prod-alb/dff69a9127,ALB:LCU,4.81,48.136,,,0,,startup-x,prod,0,0,HR,dev,CloudMigration,2
2/18/2026,ElasticLoadBalancing,ap-southeast-1,app/carci-prod-alb/d51cf59109,ALB:LCU,2.05,20.507,,,0,,carci,prod,0,0,Operations,test,CloudMigration,2
2/19/2026,AmazonEKS,ap-northeast-1,eks/budgetguard-test-cluster,DataTransfer-Out-Bytes,3.47,34.742,,,0,,budgetguard,test,34.742,0,Marketing,dev,DataLake,2
2/5/2026,AmazonECR,eu-west-1,ecr/finops-lite-prod-repo-5e85,DataTransfer-Out-Bytes,10.99,109.89,,,0,,finops-lite,prod,109.89,0,Marketing,prod,MobileApp,2
2/1/2026,ElasticLoadBalancing,ap-southeast-1,app/startup-x-prod-alb/5cda2c354f,ALB:LCU,3.58,35.758,,,0,,startup-x,prod,0,0,HR,dev,DataLake,2
2/11/2026,AmazonRoute53,us-east-1,hostedzone/a908b713e95c9,Route53:HostedZone,0.1,1,,,0,,costwatch,test,0,0,Finance,test,DataLake,2
2/23/2026,AmazonEC2,ap-northeast-1,i-4f4ebdf672eb23164,BoxUsage:m5.large,1.51,15.07,m5.large,,2,,budgetguard,test,0,0,Finance,test,DataLake,2
2/6/2026,AmazonRDS,eu-west-1,db:carci-prod-01,DataTransfer-Out-Bytes,7.13,71.259,,,0,,carci,prod,71.259,0,Operations,test,WebApp,2
2/19/2026,AWSLambda,ap-northeast-1,lambda:costwatch-prod-fn-4de1,Lambda:GB-Second,151593.44,1515934.375,,,0,,costwatch,prod,0,0,IT,dev,WebApp,2
2/18/2026,AWSLambda,ap-southeast-1,lambda:carci-test-fn-621d,Lambda:Requests,953605.9,9536059,,,0,,carci,test,0,0,Operations,test,DataLake,2
2/12/2026,AmazonVPC,eu-west-1,nat-f19d54db,NATGateway:Hours,0.33,3.25,,,0,,carci,prod,0,0,HR,test,MobileApp,2
2/13/2026,AWSLambda,ap-northeast-1,lambda:costwatch-test-fn-b35c,Lambda:Requests,354671.7,3546717,,,0,,costwatch,test,0,0,HR,dev,CloudMigration,2
2/17/2026,AmazonEC2,ap-northeast-1,i-dc77eb48631d07623,EBS:VolumeUsage.st1,9.24,92.432,,st1,0,EBS,carci,prod,0,0,HR,prod,MobileApp,2
2/20/2026,AmazonEC2,ap-south-1,i-e761497aa7947d981,BoxUsage:c6i.xlarge,0.2,2.042,c6i.xlarge,,0,,carci,test,0,0,HR,dev,AIResearch,2
2/18/2026,AmazonElastiCache,ap-southeast-1,cache/finops-lite-prod-redis-f1bc,DataTransfer-Out-Bytes,7.5,74.985,,,0,,finops-lite,prod,74.985,0,HR,test,WebApp,2
2/26/2026,AmazonCloudWatch,ap-south-1,res-5f7794e1dd,CloudWatch:Metrics,42.8,428,,,0,,costwatch,dev,0,0,Marketing,test,CloudMigration,2
2/18/2026,AmazonCloudWatch,us-west-2,res-eb2618c126,CloudWatch:Metrics,33,330,,,0,,budgetguard,test,0,0,Finance,dev,CloudMigration,2
